"bout.ID","x","time.num","direction","bee_ID","round","treatment","microcolony","datetime","deployed_at","day_or_night","total_deployment_time"
"3",-5.33333333333333,9.58205098828922,-1,268,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:58:09.205388,2023-08-08 17:55:01,"day",22.3333333333333
"4",-589,9.59197313476768,-1,268,"2","flupyradifurone","2_flupyradifurone",2023-08-09 14:12:26.478844,2023-08-08 17:55:01,"day",22.3333333333333
"5",44.8181818181818,9.66288406089017,1,268,"2","flupyradifurone","2_flupyradifurone",2023-08-09 15:54:33.182861,2023-08-08 17:55:01,"day",22.3333333333333
"6",-14.1875,9.67901561500622,-1,268,"2","flupyradifurone","2_flupyradifurone",2023-08-09 16:17:46.949136,2023-08-08 17:55:01,"day",22.3333333333333
"1",59.7142857142857,9.68582833763315,1,309,"2","control","2_control",2023-08-09 16:27:35.568372,2023-08-09 16:30:01,"day",22.1666666666667
"2",38.4285714285714,9.80875072956016,1,309,"2","control","2_control",2023-08-09 19:24:36.063034,2023-08-09 16:30:01,"day",22.1666666666667
"3",-1.58333333333333,10.0843049010575,-1,309,"2","control","2_control",2023-08-10 02:01:23.943451,2023-08-09 16:30:01,"day",22.1666666666667
"4",10.7142857142857,10.1480663343622,1,309,"2","control","2_control",2023-08-10 03:33:12.931289,2023-08-09 16:30:01,"day",22.1666666666667
"5",-3.60606060606061,10.4371690202112,-1,309,"2","control","2_control",2023-08-10 10:29:31.403346,2023-08-09 16:30:01,"day",22.1666666666667
"6",3.85,10.4381890915759,1,309,"2","control","2_control",2023-08-10 10:30:59.537512,2023-08-09 16:30:01,"day",22.1666666666667
"7",-35,10.4393244067635,-1,309,"2","control","2_control",2023-08-10 10:32:37.628744,2023-08-09 16:30:01,"day",22.1666666666667
"8",-372.5,10.4528850046637,-1,309,"2","control","2_control",2023-08-10 10:52:09.264403,2023-08-09 16:30:01,"day",22.1666666666667
"9",21.8,10.4696871993475,1,309,"2","control","2_control",2023-08-10 11:16:20.974024,2023-08-09 16:30:01,"day",22.1666666666667
"10",229.5,10.5565520641754,1,309,"2","control","2_control",2023-08-10 13:21:26.098345,2023-08-09 16:30:01,"day",22.1666666666667
"1",4,9.68651712611007,1,316,"2","control","2_control",2023-08-09 16:28:35.079696,2023-08-09 16:30:01,"day",22.1666666666667
"2",-9,9.74743903339235,-1,316,"2","control","2_control",2023-08-09 17:56:18.732485,2023-08-09 16:30:01,"day",22.1666666666667
"3",16.25,9.75099982511053,1,316,"2","control","2_control",2023-08-09 18:01:26.38489,2023-08-09 16:30:01,"day",22.1666666666667
"4",5.28571428571429,9.76013785658715,1,316,"2","control","2_control",2023-08-09 18:14:35.910809,2023-08-09 16:30:01,"day",22.1666666666667
"5",5.61538461538461,9.76245167792317,1,316,"2","control","2_control",2023-08-09 18:17:55.824973,2023-08-09 16:30:01,"day",22.1666666666667
"6",6.5,9.76806894397667,1,316,"2","control","2_control",2023-08-09 18:26:01.15676,2023-08-09 16:30:01,"day",22.1666666666667
"7",47.7142857142857,9.76938132111983,1,316,"2","control","2_control",2023-08-09 18:27:54.546145,2023-08-09 16:30:01,"day",22.1666666666667
"8",14.5652173913043,9.77251329633166,1,316,"2","control","2_control",2023-08-09 18:32:25.148803,2023-08-09 16:30:01,"day",22.1666666666667
"9",15.8571428571429,9.7740922495847,1,316,"2","control","2_control",2023-08-09 18:34:41.570364,2023-08-09 16:30:01,"day",22.1666666666667
"10",11.2222222222222,9.77577115082879,1,316,"2","control","2_control",2023-08-09 18:37:06.627432,2023-08-09 16:30:01,"day",22.1666666666667
"11",7.84210526315789,9.77957653616852,1,316,"2","control","2_control",2023-08-09 18:42:35.412725,2023-08-09 16:30:01,"day",22.1666666666667
"12",4.92857142857143,9.8617156226153,1,316,"2","control","2_control",2023-08-09 20:40:52.229794,2023-08-09 16:30:01,"day",22.1666666666667
"13",30.6363636363636,9.93279768617594,1,316,"2","control","2_control",2023-08-09 22:23:13.720086,2023-08-09 16:30:01,"day",22.1666666666667
"14",40.2222222222222,9.97843392612233,1,316,"2","control","2_control",2023-08-09 23:28:56.691217,2023-08-09 16:30:01,"day",22.1666666666667
"15",24,10.0574912526905,1,316,"2","control","2_control",2023-08-10 01:22:47.244232,2023-08-09 16:30:01,"day",22.1666666666667
"16",4.7,10.1614778196824,1,316,"2","control","2_control",2023-08-10 03:52:31.68362,2023-08-09 16:30:01,"day",22.1666666666667
"17",49.2857142857143,10.248470124614,1,316,"2","control","2_control",2023-08-10 05:57:47.818767,2023-08-09 16:30:01,"day",22.1666666666667
"18",9.5,10.2501744496684,1,316,"2","control","2_control",2023-08-10 06:00:15.072451,2023-08-09 16:30:01,"day",22.1666666666667
"19",10.75,10.5273083385417,1,316,"2","control","2_control",2023-08-10 12:39:19.44045,2023-08-09 16:30:01,"day",22.1666666666667
"20",35.6,10.5362232876656,1,316,"2","control","2_control",2023-08-10 12:52:09.692054,2023-08-09 16:30:01,"day",22.1666666666667
"21",-6.28571428571429,10.5375719401378,-1,316,"2","control","2_control",2023-08-10 12:54:06.215628,2023-08-09 16:30:01,"day",22.1666666666667
"22",11.375,10.5492972603857,1,316,"2","control","2_control",2023-08-10 13:10:59.283297,2023-08-09 16:30:01,"day",22.1666666666667
"23",-93.5,10.5530856122617,-1,316,"2","control","2_control",2023-08-10 13:16:26.5969,2023-08-09 16:30:01,"day",22.1666666666667
"24",763,10.5571500917883,1,316,"2","control","2_control",2023-08-10 13:22:17.767931,2023-08-09 16:30:01,"day",22.1666666666667
"25",1.625,10.5596348235339,1,316,"2","control","2_control",2023-08-10 13:25:52.448753,2023-08-09 16:30:01,"day",22.1666666666667
"1",15,9.68723455717753,1,315,"2","control","2_control",2023-08-09 16:29:37.06574,2023-08-09 16:30:01,"day",22.1666666666667
"2",-0.6875,9.7705457503894,-1,315,"2","control","2_control",2023-08-09 18:29:35.152834,2023-08-09 16:30:01,"day",22.1666666666667
"3",32.4,9.77301119004662,1,315,"2","control","2_control",2023-08-09 18:33:08.16682,2023-08-09 16:30:01,"day",22.1666666666667
